Gemeinde;"Ständige Wohnbevölkerung
ab 15 Jahren";Total Arbeitspendler;Wegpendler;Zupendler;Binnenpendler
Affoltern am Albis;9’341;5’278;4’022;4’055;1’256
Bassersdorf;9’595;5’518;5’024;2’480;494
Bülach;16’526;9’289;7’321;6’395;1’968
Kloten;15’543;8’801;6’440;19’779;2’361
Opfikon;15’464;9’105;7’908;13’004;1’197
Wallisellen;12’389;6’987;5’697;13’900;1’289
Regensdorf;14’756;8’029;6’652;6’772;1’377
Hinwil;9’198;5’108;3’870;4’212;1’238
Rüti (ZH);9’995;5’432;4’343;2’744;1’090
Wetzikon (ZH);19’753;11’047;8’246;8’245;2’801
Adliswil;15’623;8’326;7’104;4’815;1’222
Horgen;16’958;9’191;7’222;6’076;1’970
Richterswil;10’900;6’044;5’131;2’399;913
Thalwil;15’021;8’173;7’019;3’674;1’154
Wädenswil;18’474;10’291;7’963;5’154;2’329
Küsnacht (ZH);11’664;5’606;4’640;3’723;966
Männedorf;9’080;4’725;4’001;3’176;724
Meilen;11’453;5’689;4’706;3’894;983
Stäfa;12’045;6’100;4’605;3’836;1’495
Zollikon;10’242;5’067;4’404;3’869;663
Pfäffikon;9’052;5’153;4’065;3’186;1’088
Dübendorf;22’627;12’850;10’601;13’169;2’249
Uster;28’526;16’105;12’184;9’703;3’921
Volketswil;15’277;8’766;7’254;7’252;1’512
Winterthur;90’095;50’865;28’456;33’272;22’409
Dietikon;21’059;11’339;9’356;11’381;1’982
Schlieren;14’440;7’969;6’765;11’642;1’205
Urdorf;7’999;4’428;3’804;4’508;624
Zürich;329’401;196’325;58’498;228’205;137’827
Illnau-Effretikon;14’098;7’528;6’269;3’531;1’259
Lyss;12’514;7’062;4’993;4’897;2’070
Langenthal;12’924;7’168;4’187;8’164;2’981
Bern;109’136;66’872;24’288;109’369;42’585
Köniz;34’634;18’861;15’308;13’854;3’553
Muri bei Bern;10’746;5’075;4’181;6’615;894
Zollikofen;8’433;4’433;3’791;5’195;641
Ittigen;9’541;5’175;4’471;8’519;704
Ostermundigen;13’798;7’306;6’572;4’801;734
Biel/Bienne;42’625;21’109;10’147;19’828;10’962
Burgdorf;13’992;7’387;4’560;8’548;2’827
Münchenbuchsee;8’186;4’518;3’810;3’615;708
Interlaken;4’401;2’735;1’473;4’633;1’261
Münsingen;10’333;5’465;4’105;4’321;1’360
Spiez;11’121;5’697;4’142;3’060;1’554
Belp;10’016;5’829;4’702;3’147;1’127
Steffisburg;13’652;7’516;6’289;3’175;1’227
Thun;37’511;20’170;11’907;15’596;8’263
Emmen;24’589;13’399;10’039;9’444;3’360
Ebikon;10’899;6’210;5’164;4’483;1’046
Horw;11’629;6’086;5’091;2’935;995
Kriens;23’200;12’421;9’930;6’848;2’491
Luzern;69’781;40’090;20’105;40’837;19’985
Sursee;8’174;4’971;3’238;9’578;1’733
Altdorf (UR);7’711;4’252;2’308;3’743;1’944
Einsiedeln;12’161;6’553;3’569;1’830;2’984
Freienbach;13’739;7’112;5’336;7’972;1’776
Arth;9’354;5’368;4’092;1’797;1’276
Schwyz;12’609;7’003;3’108;5’997;3’895
Sarnen;8’758;4’883;2’782;3’896;2’102
Stans;7’112;4’353;2’755;6’524;1’598
Glarus Nord;14’902;8’573;5’012;3’583;3’561
Glarus;10’169;5’811;2’847;3’678;2’964
Baar;19’692;11’313;7’883;13’181;3’430
Cham;12’886;7’507;6’139;6’019;1’368
Risch;8’644;5’357;4’168;7’572;1’188
Steinhausen;8’238;4’577;3’835;4’723;742
Zug;24’494;13’121;7’991;22’452;5’130
Bulle;17’506;9’113;5’085;7’290;4’027
Fribourg;29’858;15’681;8’546;18’109;7’135
Villars-sur-Glâne;10’059;5’085;4’228;5’612;857
Grenchen;13’807;7’277;4’080;6’871;3’198
Olten;15’365;8’410;5’938;13’686;2’472
Solothurn;14’321;8’399;5’454;12’467;2’945
Basel;143’412;73’265;23’479;68’746;49’786
Riehen;17’302;7’836;6’531;1’733;1’304
Aesch (BL);8’439;4’194;3’712;2’854;482
Allschwil;17’521;8’927;7’533;4’347;1’394
Arlesheim;7’640;3’635;3’012;3’193;623
Binningen;13’095;6’617;5’913;3’193;704
Birsfelden;8’711;4’309;3’812;2’124;497
Münchenstein;10’206;5’148;4’527;5’934;622
Muttenz;15’613;8’150;6’694;6’735;1’456
Oberwil (BL);9’328;4’727;4’130;1’846;597
Reinach (BL);15’749;7’455;6’107;5’942;1’348
Liestal;11’515;6’018;4’067;10’578;1’951
Pratteln;13’377;6’580;5’095;7’210;1’485
Neuhausen am Rheinfall;8’677;4’144;3’149;3’074;995
Schaffhausen;30’477;15’966;7’457;10’891;8’509
Herisau;13’194;7’149;4’088;4’893;3’061
St. Gallen;63’328;35’123;12’610;38’565;22’513
Rorschach;7’149;3’497;2’604;3’327;893
Altstätten;9’357;5’112;2’956;3’609;2’156
Buchs (SG);10’192;4’353;2’495;3’154;1’858
Rapperswil-Jona;22’852;12’653;8’041;7’762;4’612
Flawil;8’328;4’577;3’342;2’140;1’236
Uzwil;10’595;5’550;3’867;4’102;1’683
Wil (SG);19’738;10’938;7’047;8’438;3’890
Gossau (SG);15’600;8’827;6’071;7’523;2’756
St. Moritz;4’445;2’430;511;1’749;1’919
Davos;9’856;6’053;574;881;5’480
Chur;30’133;17’249;4’965;12’756;12’284
Aarau;17’501;10’281;6’702;22’987;3’579
Suhr;7’979;4’443;3’882;3’334;561
Baden;16’720;10’146;6’897;20’117;3’249
Spreitenbach;9’024;4’835;3’796;5’889;1’039
Wettingen;17’610;9’560;7’597;5’024;1’962
Wohlen (AG);13’219;6’760;5’178;4’277;1’582
Brugg;9’535;5’222;4’024;5’832;1’198
Lenzburg;7’850;4’491;3’532;6’695;959
Möhlin;8’780;4’793;3’779;1’936;1’014
Rheinfelden;11’188;6’252;4’882;3’855;1’370
Oftringen;11’330;6’305;5’350;3’404;955
Zofingen;9’529;5’352;3’925;7’242;1’426
Arbon;11’725;5’881;4’175;3’248;1’706
Romanshorn;9’105;4’804;3’235;3’176;1’569
Amriswil;10’855;6’054;4’185;2’857;1’869
Frauenfeld;21’026;11’805;6’540;10’867;5’266
Kreuzlingen;18’257;9’272;5’807;4’738;3’465
Weinfelden;9’455;5’454;3’537;5’748;1’917
Bellinzona;36’018;16’203;6’832;9’588;9’371
Locarno;13’482;5’651;3’096;6’325;2’556
Lugano;54’023;23’297;8’375;18’114;14’921
Chiasso;7’008;2’443;1’474;3’142;969
Mendrisio;12’810;5’241;3’291;3’499;1’950
Aigle;7’965;3’508;2’386;3’627;1’122
Crissier;6’104;3’095;2’657;5’704;438
Lausanne;112’617;57’367;26’851;60’184;30’517
Prilly;9’853;4’716;4’232;4’434;484
Pully;15’319;6’987;6’218;3’464;770
Renens (VD);16’313;7’831;6’834;8’274;996
Bussigny;6’936;3’632;3’120;3’770;512
Ecublens (VD);9’437;4’753;3’751;12’900;1’001
Morges;13’281;6’603;5’251;6’598;1’352
Gland;10’308;5’645;4’676;3’065;969
Nyon;16’376;8’371;5’834;8’123;2’537
Payerne;7’590;3’371;2’239;3’666;1’132
Montreux;19’913;8’720;5’554;6’462;3’166
La Tour-de-Peilz;9’628;4’208;3’733;1’820;475
Vevey;15’742;7’732;5’224;9’267;2’508
Yverdon-les-Bains;24’554;11’708;7’033;8’713;4’675
Brig-Glis;10’665;5’276;2’666;4’461;2’611
Martigny;14’723;7’360;3’534;6’460;3’827
Monthey;15’207;7’421;4’189;5’517;3’232
Sierre;14’058;6’370;3’245;5’260;3’125
Sion;28’537;13’540;4’827;17’560;8’714
Visp;6’116;3’259;1’335;6’385;1’924
Zermatt;4’424;2’903;(195);904;2’708
La Chaux-de-Fonds;31’317;14’823;5’468;7’783;9’356
Le Locle;8’553;3’984;2’375;2’719;1’609
Neuchâtel;27’764;14’091;7’182;17’050;6’909
Carouge (GE);16’405;8’119;6’630;12’796;1’489
Chêne-Bougeries;8’672;3’513;3’218;1’992;295
Genève;149’085;68’916;26’459;62’062;42’457
Le Grand-Saconnex;7’792;3’534;3’143;5’655;391
Lancy;24’289;11’515;10’076;9’110;1’439
Meyrin;16’738;7’189;5’865;9’173;1’324
Onex;15’194;6’175;5’771;1’988;403
Plan-les-Ouates;8’359;4’095;3’590;4’827;505
Thônex;11’359;4’634;4’266;1’496;369
Vernier;25’935;11’065;9’626;8’051;1’439
Versoix;9’198;3’986;3’311;1’622;675
Delémont;10’159;4’577;2’024;5’887;2’553